
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="CESD_Total_Sum_w",="CESD_Total_Sum_w",="CESD_Total_Sum_w",="CESD_Total_Sum_w",="CESD_Total_Sum_w",="CESD_Total_Sum_w"

="CESD_Total_Sum_w",="",="",="",="",="",=""
="wave_recode",="0.147***",="-0.390***",="-0.374**",="0.0504",="-0.395**",="-0.381**"
="",="(0.0336)",="(0.115)",="(0.117)",="(0.0377)",="(0.121)",="(0.123)"

="SES",="-0.405**",="-0.210",="-0.226",="0.0440",="0.281",="0.220"
="",="(0.129)",="(0.137)",="(0.158)",="(0.143)",="(0.147)",="(0.164)"

="EDDS_Sum_w",="",="0.421***",="0.438***",="",="0.436***",="0.443***"
="",="",="(0.0166)",="(0.0172)",="",="(0.0184)",="(0.0186)"

="gender",="",="",="-5.023***",="",="",="-4.565***"
="",="",="",="(0.390)",="",="",="(0.391)"

="hispanic",="",="",="-0.657",="",="",="-0.632"
="",="",="",="(0.441)",="",="",="(0.445)"

="nativity",="",="",="0.370",="",="",="0.534"
="",="",="",="(0.673)",="",="",="(0.668)"

="eitherusborn",="",="",="-0.631",="",="",="-0.748"
="",="",="",="(0.414)",="",="",="(0.414)"

="sss1",="",="",="",="-0.931***",="-0.848***",="-0.808***"
="",="",="",="",="(0.123)",="(0.127)",="(0.126)"

="sss2",="",="",="",="-1.480***",="-1.379***",="-1.381***"
="",="",="",="",="(0.111)",="(0.115)",="(0.113)"

="_cons",="16.56***",="14.46***",="16.47***",="30.00***",="26.27***",="28.42***"
="",="(0.586)",="(0.850)",="(1.157)",="(1.013)",="(1.229)",="(1.453)"

="lns1_1_1",="",="",="",="",="",=""
="_cons",="0.293***",="0.634***",="0.430",="0.281***",="0.587**",="0.479"
="",="(0.0242)",="(0.172)",="(0.263)",="(0.0274)",="(0.196)",="(0.247)"

="lns1_1_2",="",="",="",="",="",=""
="_cons",="2.326***",="2.573***",="2.416***",="2.270***",="2.465***",="2.340***"
="",="(0.0162)",="(0.0963)",="(0.132)",="(0.0190)",="(0.121)",="(0.156)"

="atr1_1_1_2",="",="",="",="",="",=""
="_cons",="-0.459***",="-0.951***",="-0.787***",="-0.492***",="-0.912***",="-0.806***"
="",="(0.0266)",="(0.128)",="(0.195)",="(0.0306)",="(0.162)",="(0.218)"

="lnsig_e",="",="",="",="",="",=""
="_cons",="2.022***",="1.971***",="1.981***",="2.018***",="1.966***",="1.972***"
="",="(0.00554)",="(0.0153)",="(0.0157)",="(0.00623)",="(0.0163)",="(0.0166)"

="N",="22099",="7176",="6666",="17288",="6136",="5921"
="adj. R-sq",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
